key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
l1544,50.131861;2.906845;8.852187,,,
l1545,49.783196;3.866873;8.799741,,,
l1549,25.226367;-8.537600;0.046356,,,
l1552,36.195455;-7.741101;0.045880,,,
l1553,47.078616;11.764367;0.104431,,,
l1558,17.436025;-7.454933;0.337684,,,
l1563,37.251676;-6.588016;0.729290,,,
l1564,17.578788;12.811925;0.837304,,,
l1573,15.592107;-7.933375;1.894023,,,
l1580,32.268657;-6.985074;2.361820,,,
l1588,46.771170;11.788300;2.828775,,,
l1591,19.416082;12.573762;2.825067,,,
l1597,31.583058;-6.495765;3.426489,,,
l1598,31.929128;-5.843131;3.451164,,,
l1600,32.475491;-6.356101;3.535546,,,
l1608,51.899565;11.045591;4.154484,,,
l1610,54.350203;10.169670;4.343495,,,
l1616,34.317619;-6.589878;5.041392,,,
l1622,32.373711;-6.716834;5.312935,,,
l1625,30.433614;-6.758812;5.504853,,,
l1639,30.897286;-5.035103;6.080750,,,
l1640,53.025318;7.751485;6.249979,,,
l1641,51.876648;8.471438;6.119687,,,
l1643,39.849314;9.925608;6.165989,,,
l1645,35.299954;10.391210;6.113292,,,
l1646,54.321506;6.742008;6.395505,,,
l1651,55.881987;-4.189844;6.533682,,,
l1652,32.789908;-4.209629;6.498790,,,
l1658,50.632626;-5.201987;6.841083,,,
l1661,40.338302;-2.883961;6.750921,,,
l1663,35.838633;8.003081;6.750317,,,
l1665,48.861930;9.137035;6.706367,,,
l1666,51.113385;5.797161;6.951702,,,
l1669,41.857839;-5.311273;7.102991,,,
l1671,33.217854;-2.819098;7.175633,,,
l1673,53.607746;-0.123544;7.262764,,,
l1674,53.533426;-3.914777;7.267409,,,
l1677,53.736348;0.923007;7.286414,,,
l1681,55.518877;5.385000;7.615506,,,
l1685,35.485597;0.210824;7.745176,,,
l1686,50.346265;0.446060;7.738272,,,
l1688,50.270837;4.032655;7.765580,,,
l1695,31.318318;5.128556;7.957307,,,
l1696,31.457771;6.020028;8.062923,,,
l1704,52.305392;-1.450071;8.082531,,,
l1710,40.507861;-0.545712;8.306584,,,
l1714,40.959667;3.358187;8.462336,,,
l1717,37.033033;5.400346;8.293774,,,
l1718,44.728624;-0.854443;8.467070,,,
l1720,38.380750;2.102349;8.541049,,,
l1722,50.747433;-0.536097;8.798487,,,
l1723,50.721811;1.425101;8.801559,,,
l1725,34.147758;2.040833;8.704581,,,
l1726,50.350586;2.510319;8.739921,,,
l1727,45.681493;5.383690;8.770022,,,
l1728,47.368793;2.182320;9.068327,,,
l2468,19.744817;-7.812583;0.209428,,,
l2469,54.600931;12.765807;0.143696,,,
l2470,38.142210;13.428586;0.168016,,,
l2471,45.990924;13.533909;0.157968,,,
l2472,39.148552;-7.274221;0.609521,,,
l2473,43.353233;-8.853133;0.728736,,,
l2474,50.107363;11.913446;0.920402,,,
l2476,36.541095;-6.369618;1.015276,,,
l2478,58.998860;12.391278;1.098558,,,
l2479,36.902085;-6.240551;1.495115,,,
l2480,41.560237;12.903013;1.382541,,,
l2481,44.574673;12.890293;1.497045,,,
l2482,20.143004;12.914878;1.626108,,,
l2484,41.225238;-6.066420;1.759078,,,
l2486,44.538936;12.590891;2.157258,,,
l2488,40.934079;12.284399;2.533625,,,
l2489,25.937126;-7.792037;2.561864,,,
l2490,44.908421;-6.851662;2.638447,,,
l2491,34.812990;-6.368311;2.652206,,,
l2492,52.728484;-6.809486;2.487306,,,
l2493,44.556629;12.502748;2.825160,,,
l2494,27.832490;-5.744657;2.937048,,,
l2495,62.680510;-6.908892;3.117281,,,
l2496,49.160005;11.984577;3.174823,,,
l2497,42.443302;12.271662;3.277755,,,
l2498,37.091624;-6.561255;3.420711,,,
l2499,47.582741;-7.162127;3.569146,,,
l2501,36.846286;-6.105690;3.840721,,,
l2503,58.589298;10.879902;3.919970,,,
l2504,44.360701;12.319316;4.138836,,,
l2505,43.488289;12.390106;4.038967,,,
l2507,46.213902;12.151271;4.352430,,,
l2509,35.813293;-6.407442;4.607264,,,
l2510,49.352837;-6.629470;4.485662,,,
l2514,44.533336;12.022428;4.817573,,,
l2515,32.320096;-6.223266;5.060394,,,
l2520,54.868733;-6.465175;5.187696,,,
l2521,45.120850;-5.905718;5.232502,,,
l2522,48.894552;9.783945;5.321067,,,
l2524,33.695596;-5.860782;5.395696,,,
l2525,32.432140;-5.758956;5.445599,,,
l2527,57.661701;8.171677;5.626929,,,
l2528,53.017908;-6.141048;5.766924,,,
l2530,59.377511;-5.305286;5.749584,,,
l2531,59.147540;7.658789;5.803324,,,
l2532,43.225303;10.860576;5.850053,,,
l2534,37.811362;-6.028688;6.024399,,,
l2537,56.170454;7.140096;6.301432,,,
l2538,42.328428;10.794178;6.313761,,,
l2539,35.790831;-5.312963;6.402033,,,
l2540,37.756527;-5.249843;6.471014,,,
l2541,51.382060;-5.554688;6.297928,,,
l2543,57.975500;-3.720657;6.475400,,,
l2544,51.259295;8.660100;6.419669,,,
l2545,42.866696;10.377466;6.388349,,,
l2547,45.824748;-5.383036;6.686164,,,
l2548,53.394826;6.974642;6.717468,,,
l2550,39.101449;8.891559;6.604789,,,
l2551,53.920751;-4.596754;6.715878,,,
l2553,48.398491;9.825360;6.744203,,,
l2555,46.982380;-4.994131;6.922843,,,
l2557,55.386876;-3.745916;6.956347,,,
l2560,39.838430;-2.958440;6.941754,,,
l2561,50.440107;6.728520;6.978253,,,
l2562,44.009349;8.089353;7.113382,,,
l2564,40.415208;-5.311431;7.223356,,,
l2566,39.060119;-2.405082;7.237737,,,
l2567,63.061484;-0.308749;7.234814,,,
l2569,52.739603;-4.342226;7.328556,,,
l2570,57.438200;-2.867578;7.303108,,,
l2571,49.740890;-2.556209;7.465783,,,
l2572,39.696880;-2.155174;7.428459,,,
l2573,58.528770;-0.019090;7.483355,,,
l2574,57.488399;6.602445;7.411506,,,
l2575,39.575244;-5.047945;7.531045,,,
l2582,58.429841;4.138484;7.512673,,,
l2584,49.726073;5.826209;7.569363,,,
l2585,65.097641;5.918666;7.618289,,,
l2586,43.245203;7.708888;7.550755,,,
l2587,37.564919;7.931143;7.723018,,,
l2589,47.713165;-2.471814;7.737509,,,
l2590,51.441429;2.951603;7.856928,,,
l2591,56.086415;-2.212152;7.954675,,,
l2592,56.707595;2.681517;8.094369,,,
l2594,49.219863;4.760310;8.176638,,,
l2597,63.306682;1.249226;8.325606,,,
l2603,45.838221;0.553514;8.630162,,,
l2609,49.908273;-0.523658;9.025715,,,
l2610,47.904196;-1.089492;9.231404,,,
l2615,46.049057;2.819723;9.435317,,,
l2859,44.235286;-8.119823;0.111883,,,
l2860,31.287128;-7.726900;0.131939,,,
l2861,41.087440;-7.520398;0.118405,,,
