key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b104,,,,0.009945;-0.101731;0.028959;-0.001449;0.001410;0.000507
b105,,,,0.009709;-0.101221;0.029293;-0.001265;0.001231;0.000527
b106,,,,0.009151;-0.101008;0.029199;-0.001045;0.001067;0.000547
b107,,,,0.008134;-0.101213;0.028776;-0.000794;0.000935;0.000565
b108,,,,0.007524;-0.101564;0.028462;-0.000641;0.000881;0.000575
b109,,,,0.007413;-0.101650;0.028404;-0.000612;0.000872;0.000577
b110,,,,0.006992;-0.102030;0.028201;-0.000500;0.000843;0.000583
b111,,,,0.006445;-0.102668;0.027982;-0.000353;0.000816;0.000591
b112,,,,0.006246;-0.103015;0.027909;-0.000289;0.000807;0.000594
b113,,,,0.006149;-0.103246;0.027879;-0.000251;0.000802;0.000595
b114,,,,0.006112;-0.103351;0.027871;-0.000235;0.000800;0.000596
b115,,,,0.006040;-0.103589;0.027872;-0.000200;0.000795;0.000597
b116,,,,0.005945;-0.104141;0.027969;-0.000130;0.000781;0.000597
b117,,,,0.005941;-0.104245;0.028004;-0.000119;0.000778;0.000596
b118,,,,0.005956;-0.104532;0.028130;-0.000089;0.000767;0.000594
b119,,,,0.006002;-0.104809;0.028286;-0.000064;0.000752;0.000591
b120,,,,0.006018;-0.104887;0.028334;-0.000058;0.000747;0.000590
b121,,,,0.006037;-0.104968;0.028386;-0.000052;0.000742;0.000589
b122,,,,0.006059;-0.105053;0.028442;-0.000045;0.000736;0.000587
b123,,,,0.006124;-0.105265;0.028594;-0.000032;0.000719;0.000584
b124,,,,0.006174;-0.105401;0.028702;-0.000025;0.000706;0.000582
b125,,,,0.006251;-0.105572;0.028853;-0.000018;0.000686;0.000578
b126,,,,0.006341;-0.105732;0.029012;-0.000014;0.000664;0.000575
b127,,,,0.006431;-0.105868;0.029161;-0.000013;0.000641;0.000572
b128,,,,0.006531;-0.105997;0.029318;-0.000016;0.000615;0.000570
b129,,,,0.006635;-0.106110;0.029469;-0.000020;0.000587;0.000568
b130,,,,0.006745;-0.106210;0.029614;-0.000027;0.000558;0.000566
b131,,,,0.006865;-0.106305;0.029766;-0.000036;0.000525;0.000564
b132,,,,0.006980;-0.106385;0.029909;-0.000047;0.000491;0.000563
b133,,,,0.007096;-0.106458;0.030059;-0.000060;0.000454;0.000562
b134,,,,0.007203;-0.106517;0.030205;-0.000073;0.000415;0.000562
b135,,,,0.007300;-0.106563;0.030346;-0.000087;0.000376;0.000561
b136,,,,0.007396;-0.106599;0.030493;-0.000102;0.000332;0.000561
b137,,,,0.007478;-0.106620;0.030630;-0.000117;0.000290;0.000561
b138,,,,0.007556;-0.106628;0.030773;-0.000134;0.000244;0.000561
b139,,,,0.007624;-0.106623;0.030911;-0.000149;0.000198;0.000561
b140,,,,0.007688;-0.106606;0.031044;-0.000163;0.000153;0.000562
b141,,,,0.007754;-0.106578;0.031182;-0.000176;0.000104;0.000563
b142,,,,0.007815;-0.106547;0.031311;-0.000188;0.000056;0.000563
b143,,,,0.007876;-0.106510;0.031446;-0.000200;0.000005;0.000564
b144,,,,0.007933;-0.106468;0.031576;-0.000210;-0.000046;0.000566
b145,,,,0.007985;-0.106424;0.031700;-0.000219;-0.000096;0.000567
b146,,,,0.008049;-0.106358;0.031869;-0.000230;-0.000169;0.000569
b147,,,,0.008101;-0.106294;0.032027;-0.000239;-0.000240;0.000571
b148,,,,0.008137;-0.106245;0.032148;-0.000245;-0.000296;0.000573
b149,,,,0.008168;-0.106198;0.032260;-0.000249;-0.000350;0.000575
b150,,,,0.008190;-0.106150;0.032373;-0.000252;-0.000406;0.000577
b151,,,,0.008201;-0.106101;0.032483;-0.000254;-0.000463;0.000580
b152,,,,0.008197;-0.106054;0.032592;-0.000254;-0.000519;0.000582
b153,,,,0.008175;-0.106009;0.032703;-0.000254;-0.000576;0.000584
b154,,,,0.008123;-0.105960;0.032841;-0.000252;-0.000648;0.000588
b155,,,,0.008070;-0.105926;0.032945;-0.000250;-0.000702;0.000590
b156,,,,0.007979;-0.105887;0.033081;-0.000246;-0.000770;0.000594
b157,,,,0.007893;-0.105861;0.033180;-0.000241;-0.000819;0.000596
b158,,,,0.007826;-0.105846;0.033243;-0.000238;-0.000851;0.000598
b159,,,,0.007790;-0.105839;0.033275;-0.000237;-0.000867;0.000599
b160,,,,0.007676;-0.105821;0.033375;-0.000232;-0.000912;0.000602
b161,,,,0.007518;-0.105807;0.033504;-0.000225;-0.000967;0.000605
b162,,,,0.007340;-0.105804;0.033637;-0.000217;-0.001018;0.000608
b163,,,,0.007192;-0.105808;0.033736;-0.000211;-0.001052;0.000610
b164,,,,0.006977;-0.105821;0.033866;-0.000203;-0.001093;0.000613
b165,,,,0.006821;-0.105836;0.033956;-0.000198;-0.001119;0.000615
b166,,,,0.006650;-0.105856;0.034044;-0.000193;-0.001142;0.000617
b167,,,,0.006465;-0.105880;0.034128;-0.000188;-0.001161;0.000618
b168,,,,0.006204;-0.105917;0.034234;-0.000183;-0.001179;0.000620
b169,,,,0.005965;-0.105953;0.034330;-0.000178;-0.001190;0.000622
b170,,,,0.005808;-0.105980;0.034398;-0.000175;-0.001194;0.000623
b171,,,,0.005655;-0.106011;0.034476;-0.000173;-0.001195;0.000623
b172,,,,0.005585;-0.106028;0.034530;-0.000171;-0.001193;0.000624
b173,,,,0.005555;-0.106042;0.034580;-0.000170;-0.001189;0.000624
b174,,,,0.005569;-0.106052;0.034623;-0.000169;-0.001186;0.000624
b175,,,,0.005609;-0.106060;0.034662;-0.000169;-0.001183;0.000624
b176,,,,0.005640;-0.106064;0.034683;-0.000169;-0.001182;0.000624
b177,,,,0.005716;-0.106073;0.034734;-0.000169;-0.001180;0.000624
l0,15.349376;-10.696257;-0.107597,,,
l1,20.716617;-7.593027;-0.140230,,,
l2,21.474352;-7.593142;-0.145591,,,
l3,23.707977;-7.627911;-0.161454,,,
l4,24.400021;-7.545257;-0.166208,,,
l5,27.518153;-7.406286;-0.188030,,,
l6,-0.157976;5.487150;0.053882,,,
l7,18.331021;13.219638;-0.087530,,,
l8,24.532484;13.916461;-0.130207,,,
l9,31.822997;13.966352;-0.181702,,,
l10,23.579257;14.137849;-0.123082,,,
l11,26.122964;14.040279;-0.141246,,,
l12,30.024318;14.308377;-0.168387,,,
l13,15.094586;-7.144979;0.271006,,,
l14,20.090782;-7.109426;0.336550,,,
l15,21.909188;-7.055052;0.361039,,,
l16,22.855522;-7.001627;0.373807,,,
l17,23.700564;-6.965844;0.385343,,,
l18,17.206488;12.979190;0.395480,,,
l19,15.817199;13.292987;0.386165,,,
l20,21.834344;13.822690;0.458105,,,
l21,14.595873;14.543232;0.395314,,,
l22,14.131247;15.024224;0.399727,,,
l23,14.282848;-8.263675;0.636611,,,
l24,28.817281;-7.318734;0.458309,,,
l25,30.116351;-7.016501;0.475643,,,
l26,33.002313;-6.227100;0.514699,,,
l27,23.785167;13.895193;0.481754,,,
l28,25.369767;13.914137;0.500964,,,
l29,27.314276;13.886953;0.524508,,,
l30,30.653004;13.971846;0.567613,,,
l31,32.529271;13.943447;0.591550,,,
l32,18.731578;-7.420039;0.766501,,,
l33,17.881018;-6.767670;0.728800,,,
l34,19.043562;-6.803939;0.768757,,,
l35,36.477494;13.596488;0.640333,,,
l36,33.820475;13.932025;0.608312,,,
l37,13.400510;14.871320;0.832698,,,
l38,13.152945;-9.301211;0.983212,,,
l39,13.687850;-7.822222;0.960357,,,
l40,19.171146;13.045988;0.929347,,,
l41,44.635067;13.741581;0.752613,,,
l42,22.440947;13.890345;1.047819,,,
l43,27.836253;-6.904705;1.075840,,,
l44,28.698004;-6.774029;1.105213,,,
l45,30.159461;-6.579869;1.155579,,,
l46,19.858358;-6.650678;1.259280,,,
l47,31.057700;-6.317314;1.185706,,,
l48,30.291346;-5.896227;1.155473,,,
l49,27.771401;13.819587;1.212644,,,
l50,25.390286;13.875235;1.138289,,,
l51,13.547684;-8.470506;1.330093,,,
l52,16.042609;-6.954811;1.448488,,,
l53,22.989645;-6.758718;1.434985,,,
l54,20.177811;13.103475;1.492204,,,
l55,15.961905;13.868730;1.330667,,,
l56,23.637489;-6.730143;1.470740,,,
l57,33.988050;13.607356;1.412833,,,
l58,23.231368;13.701048;1.662872,,,
l59,14.675518;-7.255400;1.726225,,,
l60,27.603817;-6.600130;1.692356,,,
l61,27.200367;12.968039;1.841648,,,
l62,25.476413;13.138389;1.757601,,,
l63,16.235554;13.319888;1.784283,,,
l64,17.707168;13.613728;1.891691,,,
l65,25.064278;13.650423;1.753026,,,
l66,16.598618;13.965008;1.843094,,,
l67,13.562742;15.728593;1.783806,,,
l68,13.808859;16.651358;1.858783,,,
l69,13.811485;-7.760160;2.029183,,,
l70,18.245191;-6.376314;2.027350,,,
l71,30.893354;-5.877350;1.871316,,,
l72,44.219195;13.542694;1.761361,,,
l73,19.613220;13.415409;2.003546,,,
l74,20.686055;13.507301;2.078914,,,
l75,14.084940;-8.660168;2.116026,,,
l76,24.856612;-7.225375;2.121102,,,
l77,25.763045;-7.093806;2.188128,,,
l78,33.492970;-5.347759;2.015712,,,
l79,25.809365;-5.333597;2.159046,,,
l80,32.538917;13.082772;2.128090,,,
l81,33.924017;12.973855;2.200121,,,
l82,22.588833;13.495788;2.206628,,,
l83,23.563731;13.448532;2.271468,,,
l84,16.197428;14.061654;2.301722,,,
l85,14.214224;15.135906;2.240160,,,
l86,13.996029;16.123753;2.306693,,,
l87,27.317619;-6.777129;2.302311,,,
l88,16.929056;-6.686500;2.321331,,,
l89,25.682336;12.966930;2.399634,,,
l90,24.801818;13.057719;2.341001,,,
l91,18.800141;-6.597116;2.535238,,,
l92,23.043127;-6.351844;2.494683,,,
l93,23.414444;-5.293193;2.505418,,,
l94,27.357735;12.944517;2.518828,,,
l95,28.533208;12.909686;2.602665,,,
l96,20.852752;13.197422;2.623737,,,
l97,15.426559;13.902245;2.695810,,,
l98,13.577788;15.301293;2.667397,,,
l99,14.191596;-7.706333;2.799722,,,
l100,16.902603;-7.405064;2.769437,,,
l101,20.105841;-6.826454;2.697904,,,
l102,20.669567;-6.594782;2.755403,,,
l103,20.453932;-5.926621;2.705605,,,
l104,23.000732;-5.303225;2.992794,,,
l105,32.011475;13.078974;2.864051,,,
l106,44.403145;13.322415;2.784814,,,
l107,14.477298;-8.097588;3.254103,,,
l108,34.179209;12.956941;3.021252,,,
l109,15.539167;-7.346814;3.368744,,,
l110,17.933642;-7.252579;3.339036,,,
l111,18.505272;-6.789689;3.400908,,,
l112,26.209067;-5.415838;3.385507,,,
l113,21.875278;-5.438611;3.368207,,,
l114,28.043509;12.973356;3.255525,,,
l115,29.443461;13.015251;3.387441,,,
l116,14.445220;13.588823;3.473274,,,
l117,20.294919;-5.974212;3.644919,,,
l118,24.626981;13.004345;3.566766,,,
l119,15.430190;13.398348;3.573642,,,
l120,14.768088;-9.562179;3.853357,,,
l121,16.479410;-6.162184;3.852728,,,
l122,17.920588;-6.234788;3.710574,,,
l123,26.608491;12.679516;3.766778,,,
l124,25.829229;12.942442;3.695470,,,
l125,32.216499;13.369946;3.663034,,,
l126,13.563483;-9.981428;4.084659,,,
l127,16.715323;-7.070722;3.971571,,,
l128,15.516522;-6.186109;4.051941,,,
l129,22.207402;-6.123581;3.962461,,,
l130,28.247823;12.206037;3.925619,,,
l131,27.628522;12.405358;3.866123,,,
l132,44.935187;12.792259;3.834752,,,
l133,18.585327;13.019567;3.951574,,,
l134,22.676492;13.024002;3.943495,,,
l135,14.605117;14.359461;4.053796,,,
l136,14.211508;-10.023710;4.215248,,,
l137,16.132688;-6.962447;4.257316,,,
l138,20.340047;-5.552376;4.114736,,,
l139,24.204497;12.650940;4.111451,,,
l140,20.043303;13.000900;4.153431,,,
l141,17.437365;13.084572;4.298714,,,
l142,23.814880;13.183386;4.100622,,,
l143,24.175654;-6.004352;4.279028,,,
l144,19.686235;-5.435791;4.458982,,,
l145,26.411033;11.684453;4.336769,,,
l146,18.849850;12.577566;4.460638,,,
l147,38.704297;13.056893;4.270465,,,
l148,22.024831;12.941453;4.432087,,,
l149,13.926901;-10.608252;4.654921,,,
l150,14.719305;-9.295509;4.628797,,,
l151,13.187893;-9.092952;4.648366,,,
l152,13.965758;-7.761858;4.637039,,,
l153,14.311901;-6.309158;4.542131,,,
l154,41.512359;-5.489644;4.332881,,,
l155,27.793268;11.639822;4.519810,,,
l156,20.630596;11.783244;4.666934,,,
l157,16.070085;13.090971;4.570276,,,
l158,14.337659;-8.584487;4.845107,,,
l159,14.877022;-6.781090;4.743094,,,
l160,15.114130;-6.027586;4.721446,,,
l161,21.300764;-5.169655;4.779611,,,
l162,31.718796;-5.067858;4.772707,,,
l163,22.029684;11.249603;4.851603,,,
l164,24.923934;11.369162;4.737073,,,
l165,25.674456;11.359832;4.851915,,,
l166,29.377967;11.526096;4.728074,,,
l167,18.836731;11.632180;4.865644,,,
l168,43.430033;11.903521;4.693604,,,
l169,16.321486;11.832783;4.911083,,,
l170,15.510646;12.425918;4.846058,,,
l171,15.243718;12.969780;4.881921,,,
l172,13.825650;-9.871432;4.923749,,,
l173,20.090319;-5.211111;5.013149,,,
l174,27.930395;-4.871403;4.861155,,,
l175,45.001788;10.915746;4.820573,,,
l176,17.275133;11.434370;5.041511,,,
l177,14.105009;-9.164770;5.281808,,,
l178,14.678298;-7.406335;5.165605,,,
l179,14.364659;-6.137775;5.296826,,,
l180,28.645252;-5.831242;5.009344,,,
l181,25.537209;-5.429052;5.076677,,,
l182,39.050230;-4.775563;4.950612,,,
l183,25.678990;-4.706201;5.076918,,,
l184,29.096237;-4.651839;5.049513,,,
l185,46.123842;10.502456;4.921228,,,
l186,21.477930;10.628927;5.252292,,,
l187,23.919546;11.488362;5.196838,,,
l188,15.465801;11.931883;5.221703,,,
l189,38.101281;12.376871;5.079524,,,
l190,14.442393;12.903565;5.182561,,,
l191,13.130478;-9.466439;5.482198,,,
l192,16.500283;-5.485644;5.458438,,,
l193,17.735532;-5.365798;5.362773,,,
l194,27.383470;-4.459452;5.390703,,,
l195,16.835010;11.077936;5.379560,,,
l196,15.117672;11.397896;5.512847,,,
l197,25.077941;11.477842;5.396596,,,
