key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b135,,,,0.021842;-0.112392;0.027797;-0.000122;0.000878;0.002001
b136,,,,0.021857;-0.112343;0.027926;-0.000134;0.000855;0.002008
b137,,,,0.021841;-0.112293;0.028062;-0.000145;0.000833;0.002014
b138,,,,0.021783;-0.112241;0.028216;-0.000156;0.000810;0.002021
b139,,,,0.021660;-0.112179;0.028431;-0.000168;0.000783;0.002029
b140,,,,0.021565;-0.112133;0.028598;-0.000175;0.000765;0.002034
b141,,,,0.021462;-0.112087;0.028782;-0.000182;0.000748;0.002039
b142,,,,0.021362;-0.112048;0.028963;-0.000187;0.000734;0.002043
b143,,,,0.021253;-0.112012;0.029161;-0.000193;0.000722;0.002048
b144,,,,0.021143;-0.111981;0.029359;-0.000197;0.000711;0.002051
b145,,,,0.021026;-0.111956;0.029556;-0.000200;0.000703;0.002055
b146,,,,0.020879;-0.111934;0.029768;-0.000204;0.000697;0.002058
b147,,,,0.020711;-0.111919;0.029975;-0.000207;0.000695;0.002062
b148,,,,0.020454;-0.111908;0.030248;-0.000211;0.000697;0.002065
b149,,,,0.020238;-0.111899;0.030456;-0.000213;0.000703;0.002068
b150,,,,0.020001;-0.111888;0.030669;-0.000216;0.000715;0.002071
b151,,,,0.019761;-0.111876;0.030873;-0.000218;0.000730;0.002073
b152,,,,0.019497;-0.111860;0.031085;-0.000219;0.000751;0.002074
b153,,,,0.019114;-0.111837;0.031374;-0.000221;0.000788;0.002076
b154,,,,0.018740;-0.111819;0.031650;-0.000222;0.000835;0.002077
b155,,,,0.018464;-0.111807;0.031861;-0.000223;0.000877;0.002078
b156,,,,0.018187;-0.111796;0.032075;-0.000224;0.000926;0.002078
b157,,,,0.017926;-0.111784;0.032276;-0.000225;0.000978;0.002078
b158,,,,0.017656;-0.111768;0.032478;-0.000225;0.001037;0.002078
b159,,,,0.017383;-0.111745;0.032678;-0.000225;0.001102;0.002077
b160,,,,0.016950;-0.111696;0.033003;-0.000223;0.001223;0.002076
b161,,,,0.016709;-0.111658;0.033257;-0.000221;0.001329;0.002074
b162,,,,0.016612;-0.111626;0.033504;-0.000219;0.001440;0.002072
b163,,,,0.016637;-0.111608;0.033689;-0.000216;0.001527;0.002071
b164,,,,0.016733;-0.111596;0.033859;-0.000214;0.001607;0.002070
b165,,,,0.016890;-0.111590;0.034028;-0.000211;0.001687;0.002068
b166,,,,0.017098;-0.111591;0.034191;-0.000209;0.001763;0.002067
b167,,,,0.017353;-0.111600;0.034347;-0.000206;0.001834;0.002067
b168,,,,0.017657;-0.111611;0.034500;-0.000205;0.001900;0.002066
b169,,,,0.017980;-0.111622;0.034637;-0.000203;0.001957;0.002065
b170,,,,0.018342;-0.111632;0.034771;-0.000202;0.002009;0.002065
b171,,,,0.018723;-0.111637;0.034895;-0.000201;0.002053;0.002064
b172,,,,0.019106;-0.111640;0.035008;-0.000201;0.002089;0.002064
b173,,,,0.019484;-0.111642;0.035111;-0.000200;0.002117;0.002063
