key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
l188,15.574675;11.295905;5.579511,,,
l189,24.893667;11.286592;5.418048,,,
l190,40.185474;11.819050;5.502724,,,
l191,39.362396;11.936058;5.403263,,,
l192,15.323414;-9.459814;5.667703,,,
l193,19.226110;-5.308022;5.796938,,,
l194,32.138241;-4.252082;5.704343,,,
l195,27.120687;9.658299;5.708212,,,
l196,21.129658;10.012238;5.698282,,,
l197,18.752075;10.302015;5.707219,,,
l198,16.857574;10.554701;5.768956,,,
l199,23.482330;10.569568;5.688033,,,
l200,25.935314;11.239716;5.603774,,,
l201,30.655634;11.202185;5.738725,,,
l202,14.944995;13.233762;5.790083,,,
l203,16.377018;-5.533275;5.850199,,,
l204,29.418034;-4.304080;5.900702,,,
l205,24.151836;-4.176200;5.981841,,,
l206,33.568565;-3.779603;5.944325,,,
l207,28.168718;9.112082;5.870853,,,
l208,25.398676;9.447401;5.987153,,,
l209,27.319803;11.034123;5.842175,,,
l210,31.723257;11.093128;5.909595,,,
l211,36.479855;11.287015;5.863444,,,
l212,16.327520;15.289241;5.967591,,,
l213,17.227880;-5.400128;6.110243,,,
l214,22.486137;-4.499055;6.127800,,,
l215,27.564320;-3.910609;6.157274,,,
l216,29.168398;8.677655;6.035314,,,
l217,45.888046;8.881742;6.142041,,,
l218,33.211708;9.574028;6.078728,,,
l219,16.737852;9.969037;6.112146,,,
l220,15.721841;11.807420;6.168679,,,
l221,23.055492;-5.017282;6.305867,,,
l222,28.342283;-3.020481;6.303587,,,
l223,46.873505;8.395620;6.257949,,,
l224,30.135651;8.509465;6.210896,,,
l225,19.291916;9.741668;6.271528,,,
l226,15.917328;10.090246;6.364501,,,
l227,26.344172;10.343852;6.253806,,,
l228,46.068253;10.796288;6.217746,,,
l229,14.941157;11.615770;6.391181,,,
l230,14.421850;12.106348;6.358716,,,
l231,22.070583;-5.057954;6.582139,,,
l232,42.088402;-4.400291;6.502667,,,
l233,26.556406;-3.463546;6.536838,,,
l234,32.452145;-2.920540;6.467244,,,
l235,29.243124;-2.542913;6.491890,,,
l236,48.081139;7.920830;6.404138,,,
l237,25.727976;8.128527;6.580097,,,
l238,28.578846;8.071906;6.563748,,,
l239,27.816786;8.193134;6.408777,,,
l240,31.378950;8.295591;6.438371,,,
l241,41.817978;9.191568;6.576599,,,
l242,20.387535;9.730944;6.556954,,,
l243,22.348246;9.836914;6.517409,,,
l244,18.376337;9.996533;6.565611,,,
l245,18.971828;-5.151371;6.653797,,,
l246,20.987234;-5.052709;6.787531,,,
l247,22.998119;-3.907175;6.780538,,,
l248,27.073324;-2.805884;6.643321,,,
l249,17.150436;9.610720;6.640939,,,
l250,19.771128;-4.959753;6.899377,,,
l251,21.691938;-4.024014;6.936080,,,
l252,25.599714;-3.372529;6.900633,,,
l253,44.404373;-2.775688;6.836730,,,
l254,34.959789;-1.878044;6.949507,,,
l255,30.101925;7.870066;6.878018,,,
l256,20.704107;8.003421;6.969459,,,
